Year	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Score	College_ID
2017	5.9	5.3	TRUE	11.2	0.6869207152388175	12
2017	4.7	5.3	TRUE	10	0.05019400218658709	20
2017	4	4.5	FALSE	8.5	-0.7457143891287014	11
2017	4.7	4.3	FALSE	9	-0.48041159202360517	19
2017	4.9	4.1	TRUE	9	-0.48041159202360517	14
2017	4.5	6	TRUE	10.5	0.3154967992916832	1
2017	5.2	3.7	FALSE	8.9	-0.5334721514446242	7
2017	4	4.1	FALSE	8.1	-0.9579566268127784	8
2017	6.1	4.9	TRUE	11	0.5807995963967794	3
2017	6.9	7.5	TRUE	14.4	2.3848586167114334	5
2017	3.5	4.1	FALSE	7.6	-1.2232594239178745	10
2017	4.9	5.1	FALSE	10	0.05019400218658709	16
2017	6.1	6	TRUE	12.1	1.1644657500279907	26
2017	5.4	4.1	FALSE	9.5	-0.21510879491850904	17
2017	6.9	6	TRUE	12.9	1.588950225396145	25
2017	5.2	4.5	FALSE	9.7	-0.10898767607647097	3
2017	5.2	5.3	FALSE	10.5	0.3154967992916832	21
2017	5.9	7.1	TRUE	13	1.642010784817164	5
2017	4	5.1	FALSE	9.1	-0.42735103260258617	17
2017	4.7	4.9	FALSE	9.600000000000001	-0.16204823549748906	11
2017	8.1	4.5	TRUE	12.6	1.4297685471330868	22
2017	5.4	5.7	FALSE	11.100000000000001	0.6338601558177993	22
2017	4.5	4.5	FALSE	9	-0.48041159202360517	27
2017	3.8	4.9	FALSE	8.7	-0.6395932702866632	14
2017	3.5	3.2	FALSE	6.7	-1.7008044587070472	25
2017	5.6	4.9	FALSE	10.5	0.3154967992916832	27
2017	4.9	4.9	FALSE	9.8	-0.05592711665545099	15
2017	6.3	5.7	TRUE	12	1.1114051906069715	3
2017	4	4.7	FALSE	8.7	-0.6395932702866632	3
2017	5.4	4.5	FALSE	9.9	-0.0028665572344319496	5
2017	5.4	5.5	FALSE	10.9	0.5277390369757603	5
2017	6.1	4.9	FALSE	11	0.5807995963967794	5
2017	7.8	5.7	TRUE	13.5	1.90731358192226	6
2017	3.3	4.1	FALSE	7.3999999999999995	-1.329380542759913	6
2017	6.1	5.5	FALSE	11.6	0.8991629529228945	6
2017	4.3	6.7	FALSE	11	0.5807995963967794	6
2017	5.9	5.1	FALSE	11	0.5807995963967794	7
2017	4.7	4.7	FALSE	9.4	-0.2681693543395281	8
2017	4	4.7	FALSE	8.7	-0.6395932702866632	8
2017	4.5	4.7	FALSE	9.2	-0.3742904731815671	10
2017	6.1	5.1	FALSE	11.2	0.6869207152388175	9
2017	6.3	6.5	TRUE	12.8	1.5358896659751258	9
2017	4.9	4.5	FALSE	9.4	-0.2681693543395281	9
2017	5.9	5.3	FALSE	11.2	0.6869207152388175	9
2017	6.1	4.3	FALSE	10.399999999999999	0.2624362398706632	9
2017	4.5	5.1	FALSE	9.6	-0.16204823549749	9
2017	5.4	5.1	FALSE	10.5	0.3154967992916832	4
2017	2.7	3.7	FALSE	6.4	-1.859986136970105	11
2017	6.3	5.3	TRUE	11.6	0.8991629529228945	11
2017	7.8	6	TRUE	13.8	2.066495260185318	12
