Year	Candidate	College	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Candidate_ID
2017	100715	Selwyn	4.7	4.3	FALSE	9	713
2017	100716	Selwyn	6.1	5.5	TRUE	11.6	714
2017	100717	Churchill	6.3	7.5	FALSE	13.8	715
2017	100718	Churchill	4	4.1	FALSE	8.1	716
2017	100719	Churchill	3.8	5.3	FALSE	9.1	717
2017	100720	Clare	5.9	5.3	TRUE	11.2	718
2017	100721	Clare	6.3	4.7	FALSE	11	719
2017	100722	Clare	5.4	5.5	TRUE	10.9	720
2017	100723	Clare	3.8	4.5	FALSE	8.3	721
2017	100724	Clare	5.4	5.5	FALSE	10.9	722
2017	100725	Corpus Christi	5.9	6	FALSE	11.9	723
2017	100726	Corpus Christi	5.6	3.7	FALSE	9.3	724
2017	100727	Corpus Christi	4.7	5.7	FALSE	10.4	725
2017	100728	Corpus Christi	3.3	3.7	FALSE	7	726
2017	100729	St Edmund's	4.5	3.4	FALSE	7.9	727
2017	100730	Girton	3.8	3.9	FALSE	7.699999999999999	728
2017	100731	Trinity Hall	4	5.7	FALSE	9.7	729
2017	100732	Fitzwilliam	4.5	4.1	FALSE	8.6	730
2017	100733	Emmanuel	5.9	6.2	TRUE	12.100000000000001	731
2017	100734	Emmanuel	5.6	6	FALSE	11.6	732
2017	100735	Emmanuel	4.3	5.1	FALSE	9.399999999999999	733
2017	100736	Emmanuel	6.1	4.9	FALSE	11	734
2017	100737	Emmanuel	6.3	6.7	TRUE	13	735
2017	100738	Homerton	4	3.9	FALSE	7.9	736
2017	100739	Homerton	3.3	4.3	FALSE	7.6	737
2017	100740	St Edmund's	2	3.2	FALSE	5.2	738
2017	100741	Jesus	5.4	5.3	TRUE	10.7	739
2017	100742	Jesus	3.8	4.3	FALSE	8.1	740
2017	100743	Jesus	5.2	4.1	FALSE	9.3	741
2017	100744	Jesus	6.3	6	TRUE	12.3	742
2017	100745	Jesus	6.3	8	TRUE	14.3	743
2017	100746	Jesus	6.1	6.5	TRUE	12.6	744
2017	100747	Jesus	6.1	5.5	TRUE	11.6	745
2017	100748	Jesus	3.3	4.7	FALSE	8	746
2017	100749	Jesus	5.2	5.7	FALSE	10.9	747
2017	100750	Jesus	6.1	4.9	TRUE	11	748
2017	100751	King's	3.3	3.4	FALSE	6.699999999999999	749
2017	100752	King's	6.1	5.1	FALSE	11.2	750
2017	100753	King's	7.1	4.3	TRUE	11.399999999999999	751
2017	100754	Wolfson	4.5	4.1	FALSE	8.6	752
2017	100755	Wolfson	6.3	5.3	FALSE	11.6	753
2017	100757	Wolfson	3	3.7	FALSE	6.7	754
2017	100758	St Catharine's	4.7	4.9	FALSE	9.600000000000001	755
2017	100759	Gonville and Caius	4	6	FALSE	10	756
2017	100760	Robinson	4.7	4.1	FALSE	8.8	757
2017	100763	Magdalene	3.5	4.1	FALSE	7.6	758
2017	100764	Girton	5.6	4.7	FALSE	10.3	759
2017	100765	Wolfson	6.6	6.5	TRUE	13.1	760
2017	100766	Corpus Christi	4.3	3.9	FALSE	8.2	761
2017	100767	Sidney Sussex	5.6	4.7	FALSE	10.3	762
2017	100768	St Edmund's	4.7	4.3	FALSE	9	763
2017	100769	Selwyn	4.3	3.9	FALSE	8.2	764
2017	100770	St Edmund's	4.9	5.5	FALSE	10.4	765
2017	100771	Selwyn	5.9	4.9	FALSE	10.8	766
2017	100772	Robinson	3.8	3.9	FALSE	7.699999999999999	767
2017	100773	St Edmund's	4.7	4.7	FALSE	9.4	768
2017	100774	St Edmund's	2	3.2	FALSE	5.2	769
2017	100775	St John's	5.2	5.3	FALSE	10.5	770
2017	100776	King's	7.1	7.1	FALSE	14.2	771
2017	100777	Wolfson	4.3	2.9	FALSE	7.199999999999999	772
2017	100778	Magdalene	5.9	5.5	FALSE	11.4	773
2017	100779	Wolfson	5.2	5.5	FALSE	10.7	774
2017	100780	Wolfson	7.4	6.7	FALSE	14.100000000000001	775
2017	100782	Lucy Cavendish	5.4	3.2	FALSE	8.600000000000001	776
2017	100783	Trinity Hall	5.6	5.3	FALSE	10.899999999999999	777
2017	100784	Lucy Cavendish	6.3	3.9	TRUE	10.2	778
2017	100785	Lucy Cavendish	3.5	3.9	FALSE	7.4	779
2017	100786	St Edmund's	3.8	3.4	FALSE	7.199999999999999	780
2017	100787	King's	5.9	4.9	FALSE	10.8	781
2017	100792	King's	2.7	3.9	FALSE	6.6	782
